place,country,continent,cleaned_text,count_label,tfidf_label,w2v_label,x,y,dbscan_label,h_label
Waikiki,USA,America,swamp mile downtown island city canal site day commercialism money point thing kalakaua avenue place beach strip sand place surf lesson outrigger canoe ride pedestrian walkway edge garden refuge frenzy centre spot,0,9,1,-0.1952335640527871,-0.0025649811114339207,0,1
The Florida Keys,USA,America,folklore film hearsay key mile chain island mile image intrigue day cocaine cowboy beach view sunset west usathe lover paradise fishing snorkelling diving area reef band coral mile coast key stop west self conch republic style street plenty bar hour sunset cuisine part shack food atmosphere conch mollusc speciality chowder fritter lime concoction lime milk resemblance imposter py rest mainland west culture rest attitude lifestyle islander expanse tourist year place spirit attitude influx population bahamian village thoma petronium street cuban african bahamian corner town patchwork storey cigar maker cottage grocery church foliage,0,9,6,0.19395366208510842,-0.0003758576058913706,0,5
Yellowstone National Park,USA,America,park yellowstone national park visitor year percent summer reason diversity offer mind mountain scenery colour grand canyon azure lake flower meadow wildlife safarus park bear herd bison buffalo marmot prairie dog eagle coyote dozen wolf pack prowl world volcano activity world geyser thousand fumarole plume steam pot mud clay course spring park volcano caldera mile year,0,1,9,0.05979657335898834,0.007529579277882069,0,9
The Big Island,USA,America,island island room population town person captain cook visitation share restaurant bar facility community town century resort lava flow coast sunshine thank volcano road town beach sand island shore volcano national park mauna mauna north crater cinder cone rainforest time foot eruption birthplace king island temple site puuhonua honaunau southwest waipio valley northeast island volcano mauna hawaius volcano national park mile park landscape desert tundra rainforest volcano evidence power volcano whim lava flow town property hundred yard focu park caldera summit crater mile ocean visitor centre jaggar museum geology orientation home volcano goddes spot island island mark twain lake fire explosion expanse steam vent activity caldera visitor plume smoke distance mile trail crater cairn cairn landscape lava mile devastation trail boardwalk scene eruption chain crater road crater drive cone vent landscape tree trunk shrub sheet lava slope road coast mile trip park entrance facility activity time lava road rock earth,0,7,0,-0.07563578363737673,0.006371527542666678,0,15
The Great Plains,USA,America,hill grassland great home adventurer artist outlaw century sioux warrior crazy horse sitting bull jesse jame mark twain south dakotum north dakotum great expanse corn field flyover state value contrary region attraction route scene loui canyon forest hill splash colmy nation river history home tribe sioux handful trader region colonization civil destruction settler herd bison eradication indian ancestor presence south dakotum latter tribe east condition series drought emigrant region world wheat production boom great drought dust storm year image fantasy tornado land drama form weather freak blizzard dust devil lightning storm twister tornado today farming activity game town region economy thank north dakotum landscape south dakotum mount rushmore black hill region area plenty entertainment city barbecue birthplace mark twain cowboy town south dakotum dodge city great distance road population,0,8,2,0.2654957152248405,-0.0002891119389265531,0,10
The Rockies,USA,America,rocky mountain state size american west home mile forest border desert mexico spine array landscape geyser basin lava flow valley sand dune region snow peak grandeur wildlife bison bear moose legacy miner cowboy outlaw native american area resource century state character peak leader region reputation metropoli city part gateway resort country tourist circu manuscript stream lake community stretch scrubland country state grand teton national park bighorn mountain whitewater rafting rocky mountain wilderness range park town delight switchback road mountain pass continental divide point transport area bike cycling terrain continent course mountain hike june september temperature sixty degree fahrenheit desert plain mountain variation mountain course altitude period acclimatization elevation fact part hour sunshine year diego miami beach spring snow time gold aspen tree mountainside autumn october thing hiking sport run november march june snow condition month january temperature,0,1,3,0.11277885882314363,0.006176269622142799,0,0
Santa Fe,USA,America,city santum adventurer missionary decade pilgrim plymouth rock plateau foot sangre cristo mountain mexico capital adobe house church architect museum gallery lover world season summer temperature eighty fahrenheit winter daytime high snow mountain city half tourist town inhabitant santum summer crowd downtown area ambience country town array treasure insistence building century palace else city bearing place sense history culture palace governor mexico museum art downtown museum indian art culture folk couple mile santum neighbourhood barrio analco downtown home miguel mission canyon road art district guadalupe street west development,0,2,8,-0.41030214994686764,-0.009550781467914821,-1,6
The Capital Region,USA,America,city district columbium state west capital region day colony history landing agitation independence battle war civil right milestone protest movement issue abortion right century settlement root estuary chesapeake colonist gold fortune tobacco settlement half person slave work weed tobacco position east coast region mason dixon line line border dispute boundary state slave civil country slave market block white house tension civil trace mile capital battleground year monument museum stop tmy region country south home hundred site estate leader politician capital height shenandoah national park crest blue ridge mountain expanse wildernes whitewater river backwood village west tourist tradition chesapeake village weekend pleasure boater character state capital bridge ferry eastern shore castle border town east coast beach,0,8,7,-0.08538707385169104,0.0006793570177773806,0,15
Monument Valley,USA,America,landscape sandstone butte pinnacle rock expanse sand wild image monument valley utah state line mile perception spot scenery course moviemaker day majesty place breath fact stronghold culture monument valley highlight trip pair monolith east thumb bulk dozen spire rock panel ruin butte mile detmy monument valley tribal park view road visitor centre view hotel monument valley mile self drive route ride vehicle hmy navajo jeep horseback tour backcountry minute jeep trip person spot plenty alternative movie location totem pole tour hogan dwelling weaver work,0,1,0,-0.04849721270238199,0.00607348381103601,0,3
Zion National Park,USA,America,cliff forest waterfall zion national park park section canyon mile mile vega kolob canyon centrepiece park oasi canyon desolation weirdnes canyon gorge sound water summer traffic tourist visitor canyon detmy interstate vega salt lake city canyon scenic drive time hiking trail crowd hike verdure valley desert tableland summer season temperature exces thunderstorm august spring flower autumn colour river,0,1,7,-0.12460020183472752,0.009684823977625769,0,4
